"iso_country","prefix","alt_prefix"
"AF","YA"
"AX","OH"
"AL","ZA"
"DZ","7T"
"AS","N"
"AO","D2"
"AI","VP-A"
"AG","V2"
"AR","LV"
"AM","EK"
"AW","P4"
"AU","VH"
"AT","OE"
"AZ","4K"
"BS","C6"
"BH","A9C"
"BD","S2"
"BB","8P"
"BY","EW"
"BE","OO"
"BZ","V3"
"BJ","TY"
"BM","VP-B"
"BT","A5"
"BO","CP"
"BA","T9"
"BW","A2"
"BR","PP"
"IO","VP-L"
"BN","V8"
"BG","LZ"
"BF","XT"
"MM","XY"
"BI","9U"
"KH","XU"
"CM","TJ"
"CA","C"
"CV","D4"
"KY","VP-C"
"CF","TL"
"CL","CC"
"CN","B"
"CO","HJ, HK"
"KM","D6"
"CD","9Q"
"CG","TN"
"CK","E5"
"CR","TI"
"HR","9A"
"CU","CU"
"CY","5B"
"CZ","OK"
"DK","OY"
"DJ","J2"
"DM","J7"
"DO","HI"
"TP","4W"
"EC","HC"
"EG","SU"
"SV","YS"
"GQ","3C"
"ER","E3"
"EE","ES"
"ET","ET"
"FK","VP-F"
"FO","OY-H"
"FJ","DQ"
"FI","OH"
"FR","F"
"PF","F-OH"
"GA","TR"
"GM","C5"
"GE","4L"
"DE","D"
"GH","9G"
"GI","VP-G"
"GR","SX"
"GL","OY-H"
"GD","J3"
"GT","TG"
"GN","3X"
"GW","J5"
"GY","8R"
"HT","HH"
"HN","HR"
"HK","B-H"
"HU","HA"
"IS","TF"
"IN","VT"
"ID","PK"
"IR","EP"
"IQ","YI"
"IE","EI"
"IM","M"
"IL","4X"
"IT","I"
"JM","6Y"
"JP","JA"
"JO","JY"
"KZ","UP"
"KE","5Y"
"KI","T3"
"KP","P"
"KR","HL"
"XK","Z6"
"KW","9K"
"KG","EX"
"LA","RDPL"
"LV","YL"
"LB","OD"
"LS","7P"
"LR","A8"
"LY","5A"
"LI","HB"
"LT","LY"
"LU","LX"
"MO","B-M"
"MK","Z3"
"MG","5R"
"MW","7Q"
"MY","9M"
"MV","8Q"
"ML","TZ, TT"
"MT","9H"
"MH","V7"
"MR","5T"
"MU","3B"
"MX","XA"
"FM","V6"
"MD","ER"
"MC","3A"
"MN","JU"
"ME","4O"
"MS","VP-M"
"MA","CN"
"MZ","C9"
"NA","V5"
"NR","C2"
"NP","9N"
"NL","PH"
"NZ","ZK"
"NI","YN"
"NE","5U"
"NG","5N"
"NO","LN"
"OM","A4O"
"PK","AP"
"PA","HP"
"PG","P2"
"PY","ZP"
"PE","OB"
"PH","RP"
"PL","SP"
"PT","CR, CS"
"QA","A7"
"RO","YR"
"RU","RA"
"RW","9XR"
"SH","VQ-H"
"KN","V4"
"LC","J6"
"VC","J8"
"WS","5W"
"SM","T7"
"ST","S9"
"SA","HZ"
"SN","6V"
"RS","YU"
"SC","S7"
"SL","9L"
"SG","9V"
"SK","OM"
"SI","S5"
"SB","H4"
"SO","6O"
"ZA","ZS"
"SS","Z8"
"ES","EC"
"LK","4R"
"SD","ST"
"SR","PZ"
"SZ","3"
"SE","SE"
"CH","HB"
"SY","YK"
"TW","B"
"TJ","EY"
"TZ","5H"
"TH","HS"
"TG","5V"
"TO","A3"
"TT","9Y"
"TN","TS"
"TR","TC"
"TM","EZ"
"TC","VQ-T"
"TV","T2"
"UG","5X"
"UA","UR"
"AE","A6"
"GB","G"
"US","N"
"UY","CX"
"UZ","UK"
"VU","YJ"
"VE","YV"
"VN","VN"
"YE","7O"
"ZM","9J"
"ZW","Z"
